"la_name","SEN_Unit","RP_Unit","Total pupils","EHC plan"
"Southwark","0","0","299","9"
"Southwark","0","0","209","13"
"Southwark","0","0","387","15"
"Southwark","0","1","208","25"
"Southwark","0","0","448","12"
"Southwark","0","0","193","9"
"Southwark","0","0","173","7"
"Southwark","0","0","126","1"
"Southwark","0","0","202","3"
"Southwark","0","0","629","9"
"Southwark","0","0","212","5"
"Southwark","0","0","395","21"
"Southwark","0","0","367","4"
"Southwark","0","0","203","5"
"Southwark","0","0","267","9"
"Southwark","0","0","314","4"
"Southwark","0","0","222","9"
"Southwark","0","0","379","6"
"Southwark","0","0","147","8"
"Southwark","0","0","195","3"
"Southwark","0","0","508","13"
"Southwark","0","1","370","16"
"Southwark","0","0","144","5"
"Southwark","0","0","340","8"
"Southwark","0","0","229","7"
"Southwark","0","0","216","8"
"Southwark","0","0","96","2"
"Southwark","0","0","142","5"
"Southwark","0","0","164","5"
"Southwark","0","0","189","3"
"Southwark","0","0","222","4"
"Southwark","0","0","229","6"
"Southwark","0","0","757","8"
"Southwark","0","0","243","5"
"Southwark","0","0","404","5"
"Southwark","0","0","226","3"
"Southwark","0","0","157","1"
"Southwark","0","0","188","6"
"Southwark","0","0","1034","25"
"Southwark","0","0","574","15"
"Southwark","0","0","1884","2"
"Southwark","0","0","831","0"
"Southwark","0","0","1126","0"
"Southwark","0","0","1303","0"
"Southwark","0","0","293","0"
"Southwark","0","0","146","146"
"Southwark","0","0","53","6"
"Southwark","0","0","44","8"
"Southwark","0","0","65","65"
"Southwark","0","0","34","34"
"Southwark","0","0","86","86"
"Southwark","0","0","80","80"
"Tower Hamlets","0","0","140","7"
"Tower Hamlets","0","0","73","0"
"Tower Hamlets","0","0","127","2"
"Tower Hamlets","0","0","95","0"
"Tower Hamlets","0","0","70","0"
"Tower Hamlets","0","0","81","0"
"Tower Hamlets","0","0","98","7"
"Tower Hamlets","0","0","576","29"
"Tower Hamlets","0","0","853","25"
"Tower Hamlets","0","0","413","14"
"Tower Hamlets","0","0","216","6"
"Tower Hamlets","0","0","531","13"
"Tower Hamlets","0","0","345","12"
"Tower Hamlets","0","0","335","17"
"Tower Hamlets","0","0","446","13"
"Tower Hamlets","0","0","352","13"
"Tower Hamlets","0","0","465","31"
"Tower Hamlets","0","1","371","48"
"Tower Hamlets","0","1","221","16"
"Tower Hamlets","0","0","318","10"
"Tower Hamlets","0","0","447","10"
"Tower Hamlets","0","0","217","6"
